0.1,0.2,0.03,0.0.4,0.0.7,1.0,0.0,0.17,0.0.8,2,0.0.1,0.0.6,25,0.9,0.3,0.17.1,0.0.5,150,0.0.2,0.05,1,0.0.9,2.1,0.0.3,0
3,0,0.0,0.0,0.01,1.0,0.0,1.0,0.01,4,0.0,0.0,255,1,2047,0.0,0.0,255,0.0,0.0,1,0.0,4,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.0,255,1,22265,0.0,0.0,255,0.0,0.0,1,0.0,1,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12,0.0,0.02,255,1,503,0.02,0.0,44,0.0,0.0,1,0.0,12,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.01,12,0.0,0.01,255,1,860,0.01,0.0,140,0.0,0.0,1,0.0,12,0.0,0
0,0,0.07,0.0,0.0,1.0,0.0,0.71,0.0,8,0.0,0.0,20,0,0,0.71,0.0,28,0.0,0.0,1,0.0,8,0.0,0
2,0,0.02,0.0,0.0,1.0,0.0,0.99,0.0,1,0.0,0.0,97,0,147,0.01,0.0,98,0.0,0.0,2,0.0,1,0.0,0
11,0,0.01,0.0,0.0,1.0,0.0,0.85,0.0,77,0.0,0.0,218,0,126,0.0,0.01,255,0.0,0.0,2,0.0,157,0.0,0
0,0,0.05,0.0,0.0,1.0,0.0,0.22,0.0,2,0.0,0.04,48,1,0,0.22,0.0,105,0.0,0.0,1,0.0,2,0.0,0
1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,211,0.0,0.0,211,0,4,1.0,0.0,211,0.0,0.0,2,0.0,211,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,0.0,0.05,255,1,742,0.01,0.6,120,0.0,0.0,1,0.0,5,0.0,0
11,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4,0.0,0.0,125,0,29,0.03,0.5,125,0.0,0.0,2,0.0,6,0.0,0
15,0,0.25,0.0,0.0,1.0,0.0,0.75,0.0,2,0.0,0.06,33,1,334,0.08,0.67,12,0.0,0.0,1,0.0,3,0.0,0
0,0,0.02,0.0,0.0,1.0,0.0,0.08,0.0,2,0.0,0.11,18,0,0,0.08,0.0,173,0.0,0.02,1,0.0,2,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,0.0,0.04,83,1,3712,0.33,0.0,3,0.0,0.0,1,0.0,3,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7,0.0,0.04,255,1,177,0.01,0.2,127,0.0,0.0,1,0.0,10,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,0.0,0.08,255,1,3913,0.03,0.75,33,0.0,0.0,1,0.0,4,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8,0.0,0.0,255,1,255,0.0,0.27,255,0.0,0.0,1,0.0,11,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,26,0.0,0.0,255,1,939,0.0,0.0,255,0.0,0.0,1,0.0,26,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4,0.0,0.0,255,1,255,0.0,0.4,255,0.0,0.0,1,0.0,5,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6,0.0,0.01,255,1,1511,0.0,0.0,251,0.0,0.01,1,0.01,6,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.02,255,1,458,0.04,0.0,26,0.0,0.04,1,0.0,1,0.0,0
0,0,0.01,0.0,0.0,1.0,0.0,0.55,0.0,12,0.0,0.01,138,1,0,0.55,0.0,242,0.0,0.0,1,0.0,12,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6,0.0,0.0,255,1,1484,0.0,0.0,255,0.0,0.0,1,0.0,6,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7,0.0,0.02,255,1,12211,0.01,0.25,153,0.0,0.0,1,0.0,8,0.0,0
11,0,0.01,0.01,0.0,1.0,0.0,1.0,0.0,258,0.0,0.0,254,0,46,0.0,0.01,255,0.0,0.0,2,0.0,258,0.0,0
2,0,0.01,1.0,0.0,0.5,0.0,0.96,0.0,2,0.0,0.0,246,0,147,0.0,0.0,255,0.0,0.0,2,0.0,1,0.0,1
11,0,0.01,0.0,0.0,1.0,0.0,1.0,0.0,77,0.0,0.0,254,0,124,0.0,0.01,255,0.0,0.0,2,0.0,157,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,13,0.0,0.01,255,1,5985,0.01,0.14,117,0.0,0.0,1,0.0,14,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.01,255,1,1368,1.0,0.0,1,0.0,0.0,1,0.0,1,0.0,0
3,0,0.01,0.0,0.0,1.0,0.0,0.88,0.0,3,0.0,0.0,225,1,278,0.0,0.0,255,0.0,0.0,1,0.0,3,0.0,0
0,0,0.04,0.0,0.0,1.0,0.0,0.4,0.01,18,0.0,0.0,102,1,0,0.42,0.0,255,0.0,0.0,1,0.0,18,0.0,0
11,0,0.01,0.0,0.0,1.0,0.0,0.91,0.0,171,0.0,0.0,232,0,77,0.0,0.01,255,0.0,0.0,2,0.0,173,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,16,0.0,0.02,255,1,319,0.01,0.0,72,0.0,0.0,1,0.0,16,0.0,0
0,0,0.03,0.0,0.02,1.0,0.0,0.26,0.0,2,0.0,0.0,49,0,0,0.26,0.0,187,0.0,0.09,1,0.0,2,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7,0.0,0.0,255,1,290,0.01,0.0,255,0.0,0.0,1,0.0,7,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5,0.0,0.0,255,1,185,0.0,0.08,255,0.0,0.0,1,0.0,25,0.0,78
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8,0.0,0.04,255,1,23622,0.12,0.0,8,0.0,0.0,1,0.0,8,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14,0.0,0.0,255,1,10113,0.0,0.0,255,0.0,0.0,1,0.0,14,0.0,0
0,0,0.04,0.0,0.0,1.0,0.0,0.42,0.0,1,0.0,0.0,30,0,0,0.42,0.0,71,0.0,0.0,1,0.0,1,0.0,0
3,0,0.0,0.0,0.01,1.0,0.0,1.0,0.01,15,0.0,0.0,255,1,3542,0.0,0.0,255,0.0,0.0,1,0.0,15,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.01,255,1,657,1.0,0.0,1,0.0,0.0,1,0.0,1,0.0,0
15,0,0.08,0.0,0.0,1.0,0.0,0.51,0.0,1,0.0,0.02,96,1,332,0.02,1.0,51,0.0,0.0,1,0.0,2,0.0,2
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4,0.0,0.02,255,1,1367,0.01,0.0,106,0.0,0.0,1,0.0,4,0.0,0
3,0,0.0,0.0,0.33,1.0,0.33,1.0,0.0,3,0.33,0.08,255,1,8702,0.33,0.0,3,0.0,0.0,1,0.0,3,0.0,0
7,0,0.01,0.0,0.0,1.0,0.0,0.24,0.0,1,0.0,0.0,58,0,0,0.24,0.0,238,0.0,0.0,3,0.0,1,0.0,0
3,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.07,30,0,0,0.08,0.0,12,1.0,1.0,1,1.0,1,1.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,22,0.0,0.0,255,1,275,0.0,0.0,255,0.0,0.0,1,0.0,22,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.01,255,1,6476,0.07,0.29,14,0.0,0.0,1,0.0,7,0.0,0
15,0,0.02,0.0,0.0,1.0,0.0,0.59,0.0,1,0.0,0.02,126,1,333,0.01,0.0,128,0.0,0.0,1,0.0,1,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15,0.0,0.04,255,1,1683,0.07,0.0,15,0.0,0.0,1,0.0,15,0.0,0
11,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,48,0.0,0.0,255,0,45,0.01,0.02,255,0.0,0.0,2,0.0,129,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.02,255,1,4721,0.1,1.0,10,0.0,0.0,1,0.0,2,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10,0.0,0.0,255,1,1651,0.0,0.18,255,0.0,0.0,1,0.0,11,0.0,0
0,0,0.04,0.0,0.0,1.0,0.0,0.71,0.0,9,0.0,0.0,54,1,0,0.71,0.0,76,0.0,0.0,1,0.0,9,0.0,0
20,0,0.05,0.0,0.0,1.0,0.0,0.04,0.0,1,0.0,0.25,8,1,38,0.01,0.0,126,0.0,0.0,1,0.0,1,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9,0.0,0.0,255,1,940,0.0,0.2,255,0.0,0.0,1,0.0,10,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10,0.0,0.02,255,1,1480,0.03,0.18,40,0.0,0.0,1,0.0,11,0.0,0
11,0,0.01,0.0,0.0,1.0,0.0,0.96,0.0,5,0.0,0.0,244,0,42,0.0,0.0,255,0.0,0.0,2,0.0,5,0.0,13
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4,0.0,0.05,255,1,1992,0.25,0.0,4,0.0,0.0,1,0.0,4,0.0,0
3,0,0.01,0.0,0.0,1.0,0.0,0.98,0.0,6,0.0,0.0,251,1,282,0.0,0.0,255,0.0,0.0,1,0.0,6,0.0,276
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4,0.0,0.08,255,1,3090,0.05,0.0,19,0.0,0.0,1,0.0,4,0.0,0
15,0,0.03,0.0,0.01,1.0,0.0,0.56,0.01,1,0.0,0.01,140,1,282,0.01,1.0,169,0.0,0.0,1,0.0,2,0.0,1
15,0,0.05,0.0,0.0,1.0,0.0,0.98,0.0,1,0.0,0.01,237,1,330,0.02,0.0,41,0.0,0.0,1,0.0,1,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7,0.0,0.02,255,1,366,0.03,0.0,37,0.0,0.0,1,0.0,7,0.0,0
11,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,205,0.0,0.0,255,0,80,0.01,0.0,255,0.0,0.0,2,0.0,205,0.0,0
11,0,0.01,0.0,0.0,1.0,0.0,0.82,0.0,75,0.0,0.0,209,0,111,0.0,0.01,255,0.0,0.0,2,0.0,155,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5,0.0,0.04,255,1,3030,0.07,0.36,15,0.0,0.0,1,0.0,11,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6,0.0,0.0,255,1,2143,0.0,0.25,255,0.0,0.0,1,0.0,8,0.0,0
3,0,0.0,0.0,0.01,1.0,0.25,1.0,0.0,4,0.25,0.01,201,1,450,0.01,0.0,198,0.0,0.0,1,0.0,4,0.0,0
11,0,0.01,0.0,0.0,1.0,0.0,0.9,0.0,156,0.0,0.0,229,0,45,0.0,0.01,255,0.0,0.0,2,0.0,158,0.0,0
3,0,0.0,0.0,0.01,1.0,0.0,1.0,0.0,28,0.0,0.01,255,1,3098,0.01,0.09,108,0.0,0.0,1,0.01,47,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14,0.0,0.0,255,1,468,0.0,0.0,255,0.0,0.0,1,0.0,14,0.0,0
15,0,0.04,0.0,0.01,1.0,0.0,0.57,0.0,1,0.0,0.02,101,1,332,0.01,0.0,157,0.0,0.01,1,0.0,1,0.0,2
1,0,0.71,0.0,0.0,1.0,0.0,0.01,0.0,1,0.0,0.0,2,0,105,0.87,0.0,255,0.0,0.0,2,0.0,1,0.0,2474
3,0,0.0,0.0,0.01,1.0,0.33,1.0,0.0,3,0.33,0.04,255,1,1469,0.01,0.0,86,0.0,0.0,1,0.0,3,0.0,0
0,0,0.08,0.0,0.0,1.0,0.0,0.1,0.0,2,0.0,0.0,5,0,0,0.1,0.0,51,0.0,0.0,1,0.0,2,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8,0.0,0.01,255,1,1719,0.01,0.0,108,0.0,0.0,1,0.0,8,0.0,0
3,0,0.01,0.0,0.0,1.0,0.0,0.97,0.0,5,0.0,0.0,248,1,1650,0.0,0.33,255,0.0,0.0,1,0.0,6,0.17,0
15,0,0.02,0.0,0.0,1.0,0.0,0.64,0.0,1,0.0,0.0,163,1,376,0.0,1.0,255,0.0,0.0,1,0.0,2,0.0,1
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10,0.0,0.0,255,1,295,0.0,0.15,255,0.0,0.0,1,0.0,13,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,0.0,0.01,255,1,3177,0.01,0.0,121,0.0,0.0,1,0.0,2,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15,0.0,0.05,255,1,1888,0.03,0.0,36,0.0,0.0,1,0.0,15,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10,0.0,0.07,255,1,1253,0.1,0.0,10,0.0,0.0,1,0.0,10,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14,0.0,0.08,91,1,261,0.02,0.0,41,0.0,0.0,1,0.0,14,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,0.0,0.04,255,1,1352,0.07,0.0,15,0.0,0.0,1,0.0,3,0.0,0
15,0,0.05,0.0,0.0,1.0,0.0,0.77,0.0,1,0.0,0.01,178,1,335,0.01,1.0,115,0.0,0.0,1,0.0,3,0.0,0
3,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.09,70,0,0,0.03,0.0,33,1.0,1.0,1,1.0,1,1.0,0
1,0,0.53,0.0,0.0,1.0,0.0,0.01,0.0,1,0.0,0.0,2,0,105,0.9,0.0,255,0.0,0.0,2,0.0,1,0.0,4229
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,16,0.0,0.0,255,1,269,0.0,0.11,255,0.0,0.0,1,0.0,18,0.0,0
3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5,0.0,0.02,255,1,942,0.01,0.0,158,0.0,0.0,1,0.0,5,0.0,0
9,0,0.04,0.0,0.02,1.0,0.0,0.1,0.23,1,0.0,0.0,13,1,36853,0.01,0.0,132,0.0,0.0,1,0.0,1,0.0,11460
3,0,0.0,0.0,0.01,1.0,0.0,1.0,0.01,4,0.0,0.04,255,1,8056,0.01,0.0,74,0.0,0.0,1,0.0,4,0.0,0
3,9,0.0,0.0,0.17,1.0,0.33,1.0,0.0,3,0.33,0.06,255,1,0,0.17,0.0,6,0.0,0.0,1,0.0,3,0.0,0
15,0,0.02,0.0,0.0,1.0,0.0,0.15,0.0,1,0.0,0.0,37,1,474,0.0,0.0,255,0.0,0.8,1,0.0,1,0.0,0
3,0,0.0,0.0,0.01,1.0,0.0,1.0,0.0,17,0.0,0.01,255,1,803,0.01,0.0,84,0.0,0.0,1,0.0,17,0.0,0
